product,product-href,price,cpu-type,socket
Intel Core i5-6500 Skylake Quad-Core 3.2 GHz LGA 1151 65W CM8066201920404 Desktop Processor Intel HD Graphics 530,https://www.newegg.com/intel-core-i5-6th-gen-core-i5-6500/p/N82E16819117586,189,intel,lga-1151
Intel Core i5-6600 Skylake Quad-Core 3.3 GHz LGA 1151 65W BX80662I56600 Desktop Processor Intel HD Graphics 530,https://www.newegg.com/intel-core-i5-6th-gen-core-i5-6600/p/N82E16819117562,269,intel,lga-1151
Intel Pentium G4520 Skylake Dual-Core 3.6 GHz LGA 1151 51W BX80662G4520 Desktop Processor Intel HD Graphics 530,https://www.newegg.com/intel-pentium-g4520/p/N82E16819117623,110,intel,lga-1151
Intel Core i3 i3-7100T Dual-core (2 Core) 3.40 GHz Processor - Socket H4 LGA-1151Retail Pack - 512 KB - 3 MB Cache - 8 GT/s DMI - 64-bit Processing - 14 nm - 3 Number of Monitors Supported - Intel HD,https://www.newegg.com/intel-core-i3-7th-gen-core-i3-7100t/p/2HK-000X-00017,143,intel,lga-1151
Intel Core i5-6600 Skylake Quad-Core 3.3 GHz LGA 1151 65W CM8066201920401 Desktop Processor Intel HD Graphics 530,https://www.newegg.com/intel-core-i5-6th-gen-core-i5-6600/p/N82E16819117585,199,intel,lga-1151
Intel Core i5-6600K 6M Skylake Quad-Core 3.5 GHz LGA 1151 91W BX80662I56600K Desktop Processor Intel HD Graphics 530,https://www.newegg.com/intel-core-i5-6th-gen-core-i5-6600k/p/N82E16819117561,197,intel,lga-1151
Intel Core i5-9400 Coffee Lake 6-Core 2.9 GHz LGA 1151 65W CM8068403875504 Desktop Processor Intel UHD Graphics 630 - OEM,https://www.newegg.com/intel-core-i5-9th-gen-core-i5-9400/p/N82E16819117983,168,intel,lga-1151
Intel Core i7-7700K Kaby Lake Quad-Core 4.2 GHz LGA 1151 91W BX80677I77700K Desktop Processor,https://www.newegg.com/core-i7-7th-gen-intel-core-i7-7700k/p/N82E16819117726,524,intel,lga-1151
Intel Core i3-6100 3M 3.7 GHz LGA 1151 BX80662I36100 Desktop Processor,https://www.newegg.com/intel-core-i3-6th-gen-core-i3-6100/p/2MN-0004-00002,179,intel,lga-1151
Intel Core i5-7600K Kaby Lake Quad-Core 3.8 GHz LGA 1151 91W BX80677I57600K Desktop Processor,https://www.newegg.com/intel-core-i5-7th-gen-core-i5-7600k/p/N82E16819117728,299,intel,lga-1151
Intel Core i3-6320 Skylake Dual-Core 3.9 GHz LGA 1151 51W BX80662I36320 Desktop Processor Intel HD Graphics 530,https://www.newegg.com/intel-core-i3-6th-gen-core-i3-6320/p/N82E16819117621,249,intel,lga-1151
Intel Core i5-9600KF  6-Core 3.7 GHz LGA 1151 95W CM8068403874409 Desktop Processor,https://www.newegg.com/intel-core-i5-9600kf/p/N82E16819117997,248,intel,lga-1151
Intel Core i5-7400 Kaby Lake Quad-Core 3.0 GHz LGA 1151 65W BX80677I57400 Desktop Processor,https://www.newegg.com/core-i5-7th-gen-intel-core-i5-7400/p/N82E16819117731,189,intel,lga-1151
Intel Core i3-7100T Kaby Lake Dual-Core 3.4 GHz LGA 1151 35W CM8067703015913 Desktop Processor Intel HD Graphics 630,https://www.newegg.com/intel-core-i3-7th-gen-core-i3-7100t/p/N82E16819117738,134,intel,lga-1151
